Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 PH5),2021-Aug-07 14:42 ± < 00:01,9.10 | 0.02338,9.06 | 0.02327,4.66,4.63,26.8,12 m -   26 m,bK21P05H
(2021 PA1),2021-Aug-08 00:21 ± < 00:01,2.09 | 0.00537,2.08 | 0.00536,16.67,16.64,27.1,10 m -   23 m,bK21P01A
(2021 PZ1),2021-Aug-08 04:10 ± < 00:01,10.06 | 0.02586,10.03 | 0.02577,11.31,11.3,26.1,16 m -   35 m,bK21P01Z
(2021 PP),2021-Aug-08 23:46 ± < 00:01,4.19 | 0.01076,4.18 | 0.01074,8.79,8.77,24.2,39 m -   87 m,bK21P00P
(2021 PN1),2021-Aug-09 19:52 ± < 00:01,2.40 | 0.00617,2.40 | 0.00616,16.73,16.7,24.9,27 m -   61 m,bK21P01N
(2021 PM1),2021-Aug-10 07:32 ± < 00:01,5.67 | 0.01457,5.65 | 0.01453,10.5,10.48,25.4,22 m -   49 m,bK21P01M
(2021 PX1),2021-Aug-10 07:49 ± < 00:01,9.90 | 0.02545,9.90 | 0.02544,8.15,8.14,24.4,35 m -   78 m,bK21P01X
(2021 PP5),2021-Aug-10 16:28 ±    00:04,14.66 | 0.03767,14.61 | 0.03753,7.07,7.06,26.6,13 m -   29 m,bK21P05P
(2012 BA35),2021-Aug-11 09:39 ± < 00:01,6.83 | 0.01756,6.83 | 0.01756,4.23,4.19,23.7,48 m -  110 m,bK12B35A
(2021 PL4),2021-Aug-11 18:28 ±    00:40,17.58 | 0.04517,17.51 | 0.04498,4.63,4.62,27.6,8.0 m -   18 m,bK21P04L
(2021 PB9),2021-Aug-12 08:58 ± < 00:01,13.99 | 0.03595,13.93 | 0.03579,9.72,9.71,24.4,35 m -   78 m,bK21P09B
(2021 PP2),2021-Aug-12 14:03 ± < 00:01,10.42 | 0.02677,10.40 | 0.02671,5.59,5.57,25.7,19 m -   43 m,bK21P02P
(2021 OS1),2021-Aug-13 20:12 ± < 00:01,16.59 | 0.04263,16.58 | 0.04261,7.86,7.85,24.8,30 m -   66 m,bK21O01S
(2021 PA17),2021-Aug-14 14:11 ±    00:03,0.17 | 0.00045,0.17 | 0.00045,17.43,17.08,27.8,7.3 m -   16 m,bK21P17A
(2016 BQ),2021-Aug-14 15:17 ± < 00:01,4.39 | 0.01127,4.39 | 0.01127,4.71,4.66,26.5,13 m -   29 m,bK16B00Q
(2021 PJ1),2021-Aug-15 04:13 ± < 00:01,4.33 | 0.01112,4.32 | 0.01111,9.25,9.22,25.8,18 m -   40 m,bK21P01J
(2021 PG5),2021-Aug-15 08:01 ± < 00:01,3.97 | 0.01019,3.96 | 0.01017,7.99,7.96,26.4,14 m -   32 m,bK21P05G
(2021 PL2),2021-Aug-15 11:54 ± < 00:01,7.12 | 0.01831,7.10 | 0.01825,9.16,9.15,26.2,15 m -   34 m,bK21P02L
(2021 RD12),2021-Aug-15 15:44 ±    00:09,13.42 | 0.03449,13.40 | 0.03442,9.11,9.1,23.6,50 m -  110 m,bK21R12D
(2021 QW3),2021-Aug-16 13:29 ±    03:47,15.50 | 0.03982,15.26 | 0.03921,12.61,12.61,26.2,16 m -   35 m,bK21Q03W
(2021 RE6),2021-Aug-16 19:22 ±    00:10,13.17 | 0.03384,13.02 | 0.03346,4.29,4.27,26.2,16 m -   35 m,bK21R06E
(2021 RC2),2021-Aug-18 13:47 ±    00:03,7.68 | 0.01973,7.67 | 0.01971,7.7,7.68,25.1,25 m -   56 m,bK21R02C
(2021 PJ4),2021-Aug-19 18:37 ± < 00:01,6.72 | 0.01726,6.69 | 0.01720,16.27,16.26,24.3,37 m -   84 m,bK21P04J
(2021 RS1),2021-Aug-20 07:37 ±    02:37,8.06 | 0.02071,7.96 | 0.02045,7.29,7.28,26.3,14 m -   32 m,bK21R01S
(2021 PV),2021-Aug-20 21:59 ± < 00:01,18.48 | 0.04748,18.38 | 0.04723,13.16,13.15,24.7,30 m -   67 m,bK21P00V
(2016 AJ193),2021-Aug-21 15:10 ± < 00:01,8.92 | 0.02291,8.92 | 0.02291,26.17,26.16,19,1374 m - 1374 m,bK16AJ3J
(2019 UD4),2021-Aug-22 04:08 ± < 00:01,14.20 | 0.03648,14.20 | 0.03648,5.52,5.5,23.2,61 m -  140 m,bK19U04D
(2021 RK7),2021-Aug-22 04:27 ±    01:18,15.38 | 0.03951,15.19 | 0.03902,16.23,16.22,24.3,38 m -   84 m,bK21R07K
(2021 RG),2021-Aug-23 02:04 ±    01:39,8.11 | 0.02085,7.94 | 0.02040,11.15,11.14,25.1,25 m -   57 m,bK21R00G
(2021 PW2),2021-Aug-23 05:09 ± < 00:01,16.47 | 0.04231,16.37 | 0.04207,6.33,6.32,25.7,19 m -   43 m,bK21P02W
(2021 QN1),2021-Aug-23 08:05 ± < 00:01,12.65 | 0.03249,12.58 | 0.03232,9.61,9.6,25.9,17 m -   39 m,bK21Q01N
(2021 QO1),2021-Aug-23 16:14 ±    00:02,3.94 | 0.01013,3.93 | 0.01010,7.71,7.67,26.9,11 m -   25 m,bK21Q01O
(2021 RZ3),2021-Aug-23 22:17 ±    00:08,14.31 | 0.03678,14.30 | 0.03676,1.27,1.21,27.3,9.1 m -   20 m,bK21R03Z
(2021 QE2),2021-Aug-24 00:03 ±    00:03,2.86 | 0.00734,2.84 | 0.00730,11.85,11.81,24.4,34 m -   77 m,bK21Q02E
(2020 BC16),2021-Aug-24 01:15 ±    02:21,14.90 | 0.03828,14.56 | 0.03742,6.74,6.73,25.1,25 m -   57 m,bK20B16C
(2011 UC292),2021-Aug-24 21:04 ± < 00:01,8.95 | 0.02301,8.95 | 0.02301,8.54,8.53,22.9,70 m -  160 m,bK11UT2C
(2021 NS8),2021-Aug-25 02:24 ± < 00:01,18.33 | 0.04711,18.30 | 0.04704,4.25,4.23,25,26 m -   59 m,bK21N08S
(2021 RC1),2021-Aug-26 13:53 ± < 00:01,16.01 | 0.04115,15.92 | 0.04091,15.42,15.42,24.6,32 m -   72 m,bK21R01C
(2013 TM4),2021-Aug-26 15:03 ± < 00:01,15.54 | 0.03992,15.54 | 0.03992,7.26,7.25,24.4,36 m -   80 m,bK13T04M
(2021 RL7),2021-Aug-26 19:49 ±    05:20,6.16 | 0.01583,6.02 | 0.01547,4.76,4.73,28.3,5.9 m -   13 m,bK21R07L
(2021 RA5),2021-Aug-27 03:16 ±    01:02,7.28 | 0.01872,7.18 | 0.01845,9.73,9.72,25,26 m -   59 m,bK21R05A
(2021 QV1),2021-Aug-27 04:13 ± < 00:01,3.41 | 0.00876,3.40 | 0.00874,11.62,11.59,26.6,13 m -   28 m,bK21Q01V
(2021 PL39),2021-Aug-27 04:27 ±    00:03,15.66 | 0.04024,15.38 | 0.03951,16.47,16.46,25.2,24 m -   54 m,bK21P39L
(2021 QD1),2021-Aug-27 20:54 ± < 00:01,0.80 | 0.00204,0.80 | 0.00204,5.74,5.51,28.7,4.8 m -   11 m,bK21Q01D
(2021 RP3),2021-Aug-27 23:20 ±    00:01,6.04 | 0.01553,6.00 | 0.01543,11.1,11.08,24.9,27 m -   61 m,bK21R03P
(2021 RV),2021-Aug-28 05:05 ±    00:01,4.76 | 0.01224,4.74 | 0.01219,9.91,9.88,26.2,16 m -   35 m,bK21R00V
(2021 PB17),2021-Aug-28 15:48 ±    01:09,11.64 | 0.02991,11.37 | 0.02923,6.47,6.46,25.4,22 m -   50 m,bK21P17B
(2021 RX),2021-Aug-28 15:52 ±    00:02,4.62 | 0.01186,4.58 | 0.01178,3.91,3.85,27.9,7.1 m -   16 m,bK21R00X
(2021 QV3),2021-Aug-28 23:42 ± < 00:01,0.33 | 0.00085,0.33 | 0.00085,9.1,8.75,30.2,2.4 m -  5.3 m,bK21Q03V
(2021 PT),2021-Aug-29 00:52 ± < 00:01,12.79 | 0.03285,12.77 | 0.03280,7.24,7.23,21.9,110 m -  250 m,bK21P00T
(2021 RX4),2021-Aug-29 04:00 ± < 00:01,19.21 | 0.04937,19.21 | 0.04936,9.11,9.1,23.8,46 m -  100 m,bK21R04X
(2017 RK15),2021-Aug-29 12:38 ± < 00:01,6.77 | 0.01740,6.77 | 0.01739,11.86,11.85,25.7,19 m -   43 m,bK17R15K
(2021 PM5),2021-Aug-29 13:01 ± < 00:01,10.22 | 0.02625,10.19 | 0.02619,11.71,11.71,25.4,22 m -   49 m,bK21P05M
(2021 RA1),2021-Aug-29 14:26 ± < 00:01,9.89 | 0.02540,9.84 | 0.02529,9.62,9.61,25.4,22 m -   49 m,bK21R01A
(2021 RN),2021-Aug-30 07:34 ± < 00:01,2.07 | 0.00532,2.06 | 0.00530,17.53,17.5,26.7,12 m -   27 m,bK21R00N
(2021 RB16),2021-Aug-31 22:05 ± < 00:01,11.36 | 0.02918,11.31 | 0.02907,8.02,8,26.9,11 m -   25 m,bK21R16B
(2021 RU3),2021-Aug-31 23:15 ± < 00:01,11.72 | 0.03011,11.66 | 0.02996,15.11,15.11,24.9,28 m -   63 m,bK21R03U
(2021 QC1),2021-Sep-01 09:58 ± < 00:01,15.18 | 0.03901,15.11 | 0.03883,12.82,12.81,22.8,72 m -  160 m,bK21Q01C
(2021 RA),2021-Sep-01 12:26 ± < 00:01,2.74 | 0.00703,2.73 | 0.00702,11.11,11.08,24.7,31 m -   68 m,bK21R00A
(2021 QY1),2021-Sep-02 01:22 ± < 00:01,8.39 | 0.02157,8.39 | 0.02155,5.19,5.17,26.5,13 m -   30 m,bK21Q01Y
(2021 RK1),2021-Sep-02 02:13 ±    00:06,3.38 | 0.00868,3.37 | 0.00866,14.32,14.29,27.1,10 m -   22 m,bK21R01K
(2021 RN5),2021-Sep-02 07:43 ± < 00:01,0.98 | 0.00253,0.98 | 0.00252,14.15,14.07,27.6,8.1 m -   18 m,bK21R05N
(2021 RR14),2021-Sep-02 09:28 ± < 00:01,6.83 | 0.01756,6.83 | 0.01756,2.7,2.64,26.9,11 m -   25 m,bK21R14R
(2021 QM2),2021-Sep-02 10:16 ±    00:03,1.31 | 0.00336,1.30 | 0.00335,16.86,16.81,28.4,5.4 m -   12 m,bK21Q02M
(2021 RM6),2021-Sep-02 13:19 ± < 00:01,13.71 | 0.03522,13.62 | 0.03499,7.62,7.61,25.8,19 m -   41 m,bK21R06M
(2021 RH5),2021-Sep-02 19:21 ± < 00:01,17.80 | 0.04574,17.60 | 0.04522,12.38,12.37,25.2,24 m -   54 m,bK21R05H
(2021 RK4),2021-Sep-02 22:01 ±    00:03,12.33 | 0.03168,12.15 | 0.03123,9.67,9.66,26.1,16 m -   36 m,bK21R04K
(2021 RT7),2021-Sep-03 00:28 ±    00:11,13.98 | 0.03591,13.76 | 0.03535,8.77,8.76,26.1,16 m -   35 m,bK21R07T
(2021 QB3),2021-Sep-03 00:59 ± < 00:01,1.74 | 0.00447,1.74 | 0.00447,6.63,6.54,23.8,47 m -  100 m,bK21Q03B
(2021 RZ9),2021-Sep-03 11:36 ±    00:01,6.16 | 0.01583,6.09 | 0.01565,11.18,11.17,26.2,15 m -   34 m,bK21R09Z
(2021 RH),2021-Sep-03 20:17 ± < 00:01,7.41 | 0.01903,7.38 | 0.01898,8.12,8.1,25.8,19 m -   41 m,bK21R00H
(2021 RT1),2021-Sep-04 01:43 ± < 00:01,5.78 | 0.01486,5.77 | 0.01482,20.59,20.58,25.2,24 m -   54 m,bK21R01T
(2021 RF),2021-Sep-04 05:16 ± < 00:01,1.28 | 0.00328,1.28 | 0.00328,7.36,7.25,27.7,7.6 m -   17 m,bK21R00F
(2021 RV2),2021-Sep-04 17:02 ±    00:11,10.52 | 0.02704,10.45 | 0.02685,6.03,6.01,26.1,16 m -   36 m,bK21R02V
(2021 RA10),2021-Sep-04 20:21 ±    00:02,1.93 | 0.00496,1.92 | 0.00494,5.21,5.1,25.4,22 m -   49 m,bK21R10A
(2021 RF19),2021-Sep-05 07:54 ±    00:02,10.24 | 0.02632,10.20 | 0.02621,5.67,5.65,27.4,8.6 m -   19 m,bK21R19F
(2021 RW5),2021-Sep-05 09:58 ± < 00:01,1.84 | 0.00473,1.83 | 0.00471,9.03,8.97,26.9,11 m -   25 m,bK21R05W
(2021 RJ5),2021-Sep-05 11:52 ±    00:10,6.00 | 0.01542,5.92 | 0.01522,13.6,13.58,27.3,9.1 m -   20 m,bK21R05J
(2015 SW6),2021-Sep-05 21:56 ± < 00:01,15.86 | 0.04075,15.86 | 0.04075,9.91,9.91,24.4,34 m -   77 m,bK15S06W
(2021 QM1),2021-Sep-06 02:13 ± < 00:01,6.98 | 0.01794,6.97 | 0.01791,21.21,21.2,24.3,37 m -   82 m,bK21Q01M
(2021 QW),2021-Sep-06 03:03 ± < 00:01,14.29 | 0.03673,14.26 | 0.03664,12.99,12.99,23.3,59 m -  130 m,bK21Q00W
(2021 TV9),2021-Sep-06 07:27 ±    00:11,18.82 | 0.04837,18.74 | 0.04817,3.66,3.65,25.4,23 m -   50 m,bK21T09V
(2021 RT4),2021-Sep-06 09:22 ± < 00:01,0.69 | 0.00177,0.69 | 0.00177,9.67,9.51,28.2,6.2 m -   14 m,bK21R04T
(2021 RB1),2021-Sep-06 10:24 ± < 00:01,7.76 | 0.01995,7.75 | 0.01990,15.45,15.44,24.1,41 m -   92 m,bK21R01B
(2021 RG2),2021-Sep-06 11:35 ± < 00:01,8.35 | 0.02145,8.34 | 0.02142,8.78,8.76,25.4,22 m -   50 m,bK21R02G
(2021 RF6),2021-Sep-06 13:02 ± < 00:01,2.14 | 0.00550,2.14 | 0.00549,10.28,10.23,28.4,5.6 m -   12 m,bK21R06F
(2019 UY3),2021-Sep-06 16:22 ±    00:04,17.65 | 0.04535,17.64 | 0.04532,5.03,5.02,23.9,45 m -  100 m,bK19U03Y
(2021 RV9),2021-Sep-06 19:13 ±    00:04,7.66 | 0.01968,7.57 | 0.01945,8.33,8.31,26.9,11 m -   24 m,bK21R09V
(2021 RF10),2021-Sep-06 20:37 ±    00:01,9.84 | 0.02529,9.78 | 0.02514,13.47,13.46,25.8,18 m -   41 m,bK21R10F
(2021 RY7),2021-Sep-06 22:21 ±    00:03,8.95 | 0.02301,8.80 | 0.02262,21.47,21.47,26.3,15 m -   33 m,bK21R07Y
(2021 RM14),2021-Sep-06 23:54 ± < 00:01,18.56 | 0.04770,18.45 | 0.04742,7.51,7.5,25.9,17 m -   38 m,bK21R14M
(2021 QH1),2021-Sep-07 01:45 ± < 00:01,2.23 | 0.00574,2.23 | 0.00573,7.83,7.77,25.6,20 m -   46 m,bK21Q01H
(2021 RJ6),2021-Sep-07 05:50 ± < 00:01,2.56 | 0.00657,2.55 | 0.00656,8,7.95,26.7,12 m -   28 m,bK21R06J
(2021 RS100),2021-Sep-07 06:02 ±    00:10,0.50 | 0.00128,0.49 | 0.00126,20.15,20.04,28.8,4.7 m -   11 m,bK21RA0S
(2021 RC15),2021-Sep-07 10:34 ± < 00:01,7.25 | 0.01862,7.23 | 0.01857,11,10.98,26,17 m -   37 m,bK21R15C
(2021 RY4),2021-Sep-07 11:04 ± < 00:01,1.35 | 0.00346,1.34 | 0.00345,9.49,9.4,28.5,5.4 m -   12 m,bK21R04Y
(2021 RE2),2021-Sep-07 15:37 ±    01:58,13.06 | 0.03355,12.94 | 0.03324,4.89,4.87,27.4,8.6 m -   19 m,bK21R02E
(2021 RH2),2021-Sep-07 22:19 ± < 00:01,15.63 | 0.04017,15.56 | 0.03997,16.51,16.5,24.1,39 m -   88 m,bK21R02H
(2021 RB),2021-Sep-08 01:53 ± < 00:01,12.67 | 0.03254,12.58 | 0.03233,7.44,7.43,26.1,16 m -   36 m,bK21R00B
(2021 QY3),2021-Sep-08 02:46 ± < 00:01,8.00 | 0.02055,7.93 | 0.02037,11.49,11.48,25.8,19 m -   41 m,bK21Q03Y
(2021 RS2),2021-Sep-08 07:28 ± < 00:01,0.06 | 0.00015,0.06 | 0.00015,17.6,16.53,30.4,2.3 m -  5.1 m,bK21R02S
(2021 RU10),2021-Sep-08 08:19 ± < 00:01,9.20 | 0.02364,9.15 | 0.02352,13.64,13.63,25.4,22 m -   50 m,bK21R10U
(2021 RP2),2021-Sep-08 13:50 ± < 00:01,0.31 | 0.00080,0.31 | 0.00080,5.11,4.41,30.3,2.3 m -  5.2 m,bK21R02P
(2021 RS5),2021-Sep-08 15:14 ± < 00:01,0.36 | 0.00092,0.36 | 0.00092,8.01,7.64,28.3,5.7 m -   13 m,bK21R05S
(2021 RU7),2021-Sep-08 17:39 ±    00:02,17.23 | 0.04426,17.13 | 0.04402,11.36,11.36,23.5,54 m -  120 m,bK21R07U
(2021 RF15),2021-Sep-08 18:33 ±    00:06,2.99 | 0.00768,2.98 | 0.00766,13.03,13.01,26.2,15 m -   34 m,bK21R15F
(2021 RQ2),2021-Sep-09 00:43 ± < 00:01,0.49 | 0.00126,0.49 | 0.00125,3.82,3.22,29.5,3.3 m -  7.3 m,bK21R02Q
(2021 RM3),2021-Sep-09 03:07 ± < 00:01,4.30 | 0.01104,4.28 | 0.01101,7.07,7.03,27.7,7.7 m -   17 m,bK21R03M
(2021 QG),2021-Sep-09 05:35 ± < 00:01,6.22 | 0.01598,6.21 | 0.01595,5.85,5.82,26.1,16 m -   36 m,bK21Q00G
(2021 RD16),2021-Sep-09 05:49 ±    00:02,11.91 | 0.03060,11.74 | 0.03016,14.95,14.94,25.1,25 m -   55 m,bK21R16D
(2021 RC10),2021-Sep-09 07:18 ± < 00:01,7.23 | 0.01858,7.23 | 0.01857,10.2,10.19,23.8,45 m -  100 m,bK21R10C
(2010 RJ53),2021-Sep-09 09:33 ± < 00:01,8.30 | 0.02132,8.30 | 0.02132,19.14,19.13,23.7,48 m -  110 m,bK10R53J
(2021 RJ19),2021-Sep-09 14:47 ± < 00:01,14.68 | 0.03771,14.49 | 0.03722,9.48,9.48,25.8,19 m -   41 m,bK21R19J
(2021 RB6),2021-Sep-09 16:16 ± < 00:01,0.67 | 0.00172,0.67 | 0.00172,9.38,9.22,28,6.6 m -   15 m,bK21R06B
(2021 SJ),2021-Sep-10 02:42 ±    00:01,16.41 | 0.04215,16.17 | 0.04156,9.39,9.38,24.4,36 m -   79 m,bK21S00J
(2021 RN10),2021-Sep-10 06:00 ± < 00:01,1.91 | 0.00490,1.89 | 0.00486,16.57,16.54,27.5,8.3 m -   19 m,bK21R10N
(2020 KR2),2021-Sep-10 12:03 ±    01:22,14.11 | 0.03626,13.91 | 0.03574,5.1,5.09,26.6,13 m -   28 m,bK20K02R
(2021 TW14),2021-Sep-10 12:34 ±    01:29,18.44 | 0.04738,17.84 | 0.04584,15.28,15.27,24.2,38 m -   84 m,bK21T14W
(2021 RZ5),2021-Sep-10 15:50 ±    00:04,9.25 | 0.02377,9.17 | 0.02357,6.94,6.93,25.7,20 m -   44 m,bK21R05Z
(2021 RE),2021-Sep-10 16:00 ± < 00:01,14.42 | 0.03706,14.36 | 0.03690,12.89,12.89,23.1,64 m -  140 m,bK21R00E
(2021 RF12),2021-Sep-10 17:23 ± < 00:01,1.96 | 0.00503,1.95 | 0.00501,12.41,12.37,28,6.7 m -   15 m,bK21R12F
(2021 RA8),2021-Sep-10 19:47 ± < 00:01,2.38 | 0.00611,2.37 | 0.00610,10.07,10.02,27.9,7.1 m -   16 m,bK21R08A
(2021 RS14),2021-Sep-11 00:07 ±    00:02,1.30 | 0.00334,1.29 | 0.00333,11.05,10.98,28.2,6.2 m -   14 m,bK21R14S
(2021 RQ1),2021-Sep-11 01:14 ±    00:05,16.62 | 0.04271,16.42 | 0.04220,6.67,6.66,26.3,14 m -   32 m,bK21R01Q
(2021 RO16),2021-Sep-11 05:06 ± < 00:01,2.86 | 0.00734,2.85 | 0.00732,7.71,7.66,26.5,13 m -   30 m,bK21R16O
(2021 RV1),2021-Sep-11 05:22 ± < 00:01,6.27 | 0.01612,6.26 | 0.01609,6.92,6.89,27.4,9.0 m -   20 m,bK21R01V
(2021 RL14),2021-Sep-11 10:46 ± < 00:01,1.81 | 0.00466,1.81 | 0.00465,9.87,9.81,27.5,8.4 m -   19 m,bK21R14L
(2021 RT2),2021-Sep-11 14:07 ± < 00:01,17.68 | 0.04543,17.58 | 0.04517,6.35,6.34,26.2,15 m -   34 m,bK21R02T
(2021 RG6),2021-Sep-11 15:31 ± < 00:01,0.22 | 0.00057,0.22 | 0.00057,7.41,6.75,28.9,4.4 m -  9.8 m,bK21R06G
(2021 RQ4),2021-Sep-11 16:40 ± < 00:01,2.32 | 0.00597,2.32 | 0.00596,7.34,7.28,28.9,4.4 m -  9.9 m,bK21R04Q
(2021 RF3),2021-Sep-11 16:44 ±    00:01,13.42 | 0.03450,13.37 | 0.03436,11.16,11.16,26.3,15 m -   33 m,bK21R03F
(2021 SD1),2021-Sep-11 17:29 ±    00:03,18.44 | 0.04739,18.41 | 0.04730,15.61,15.61,24.9,28 m -   62 m,bK21S01D
(2021 RG12),2021-Sep-11 18:47 ± < 00:01,0.84 | 0.00217,0.84 | 0.00217,3.03,2.6,29.2,3.9 m -  8.7 m,bK21R12G
(2021 RU1),2021-Sep-11 19:13 ± < 00:01,8.14 | 0.02092,8.12 | 0.02087,5.02,4.99,26.9,11 m -   25 m,bK21R01U
(2021 RK6),2021-Sep-11 19:49 ± < 00:01,10.42 | 0.02679,10.38 | 0.02668,7.33,7.31,26.7,12 m -   27 m,bK21R06K
(2021 RH6),2021-Sep-11 20:36 ± < 00:01,1.58 | 0.00407,1.58 | 0.00406,9.64,9.57,29.3,3.7 m -  8.3 m,bK21R06H
(2021 RJ14),2021-Sep-11 22:37 ± < 00:01,4.13 | 0.01062,4.13 | 0.01060,8.3,8.27,25.3,23 m -   51 m,bK21R14J
(2021 RR19),2021-Sep-12 01:14 ± < 00:01,4.41 | 0.01134,4.37 | 0.01124,10.25,10.22,26.8,12 m -   26 m,bK21R19R
(2021 RK14),2021-Sep-12 02:09 ± < 00:01,11.57 | 0.02973,11.57 | 0.02972,8.63,8.62,23.7,48 m -  110 m,bK21R14K
(2021 RL15),2021-Sep-12 04:38 ± < 00:01,11.29 | 0.02900,11.22 | 0.02883,6.77,6.76,26.6,12 m -   28 m,bK21R15L
(2021 SJ2),2021-Sep-12 14:58 ±    00:42,12.75 | 0.03275,12.68 | 0.03258,9.78,9.77,25.8,18 m -   41 m,bK21S02J
(2021 SO2),2021-Sep-12 16:33 ± < 00:01,7.02 | 0.01805,7.02 | 0.01804,4.2,4.17,24.1,40 m -   90 m,bK21S02O
(2021 RR5),2021-Sep-12 17:44 ± < 00:01,0.20 | 0.00053,0.20 | 0.00053,8.97,8.39,28.4,5.6 m -   12 m,bK21R05R
(2021 RY3),2021-Sep-13 07:37 ± < 00:01,12.95 | 0.03328,12.84 | 0.03299,11.24,11.23,25.7,20 m -   44 m,bK21R03Y
(2008 CD6),2021-Sep-13 12:16 ± < 00:01,4.02 | 0.01032,4.02 | 0.01032,14.36,14.34,23.9,45 m -  100 m,bK08C06D
(2021 SC),2021-Sep-13 18:31 ±    00:02,3.08 | 0.00792,3.07 | 0.00789,7.05,7,28.1,6.4 m -   14 m,bK21S00C
(2021 QR3),2021-Sep-14 00:44 ± < 00:01,16.60 | 0.04266,16.47 | 0.04231,14.55,14.55,23.9,44 m -   98 m,bK21Q03R
(2021 RX5),2021-Sep-14 06:03 ± < 00:01,7.22 | 0.01855,7.21 | 0.01854,8.06,8.04,23.7,48 m -  110 m,bK21R05X
(2021 RZ4),2021-Sep-14 06:30 ±    00:03,15.94 | 0.04097,15.81 | 0.04063,6.74,6.73,26.5,13 m -   29 m,bK21R04Z
(2021 TW1),2021-Sep-14 17:20 ±    00:02,18.59 | 0.04777,18.11 | 0.04654,8.71,8.7,24.1,41 m -   91 m,bK21T01W
(2021 SE),2021-Sep-15 06:49 ± < 00:01,4.33 | 0.01113,4.32 | 0.01111,12.76,12.74,26.1,16 m -   35 m,bK21S00E
(2021 SA),2021-Sep-15 08:18 ± < 00:01,1.59 | 0.00409,1.59 | 0.00408,10.05,9.98,26.4,14 m -   30 m,bK21S00A
(2021 RP16),2021-Sep-15 11:42 ±    00:51,8.74 | 0.02246,8.36 | 0.02148,10.89,10.88,26.3,15 m -   33 m,bK21R16P
(2021 RL6),2021-Sep-16 00:57 ± < 00:01,14.64 | 0.03762,14.51 | 0.03730,11.9,11.89,26.9,11 m -   25 m,bK21R06L
(2021 RM10),2021-Sep-16 01:49 ± < 00:01,16.72 | 0.04297,16.59 | 0.04262,12.28,12.28,25.4,22 m -   50 m,bK21R10M
(2021 SU),2021-Sep-16 04:54 ±    00:01,14.58 | 0.03746,14.51 | 0.03728,10.95,10.95,24.8,29 m -   65 m,bK21S00U
(2021 SL5),2021-Sep-16 05:30 ±    00:12,3.03 | 0.00779,2.98 | 0.00765,9.3,9.27,25.7,19 m -   42 m,bK21S05L
(2021 RO14),2021-Sep-16 05:58 ±    00:37,14.74 | 0.03787,14.52 | 0.03731,11.75,11.74,26.4,14 m -   31 m,bK21R14O
(2021 QG2),2021-Sep-16 08:33 ± < 00:01,18.01 | 0.04628,17.95 | 0.04612,7.32,7.31,25.4,22 m -   49 m,bK21Q02G
(2021 RF16),2021-Sep-16 09:19 ± < 00:01,0.83 | 0.00213,0.83 | 0.00212,8.62,8.47,29,4.3 m -  9.6 m,bK21R16F
(2021 QV5),2021-Sep-16 15:47 ±    00:31,12.78 | 0.03285,12.17 | 0.03128,15.44,15.43,24.4,35 m -   78 m,bK21Q05V
(2021 SG),2021-Sep-16 20:28 ± < 00:01,0.64 | 0.00164,0.64 | 0.00164,23.82,23.75,24,42 m -   94 m,bK21S00G
(2021 RQ9),2021-Sep-17 06:50 ± < 00:01,1.33 | 0.00342,1.33 | 0.00342,13.16,13.1,26.3,15 m -   33 m,bK21R09Q
(2021 SP),2021-Sep-17 11:50 ± < 00:01,0.04 | 9.43e-5,0.04 | 9.38e-5,14.37,12.24,29.3,3.7 m -  8.3 m,bK21S00P
(2021 SD),2021-Sep-17 15:07 ± < 00:01,4.11 | 0.01055,4.09 | 0.01051,10.35,10.32,27,11 m -   24 m,bK21S00D
(2021 SH5),2021-Sep-17 17:15 ± < 00:01,18.75 | 0.04818,18.62 | 0.04784,10.45,10.44,25.7,19 m -   43 m,bK21S05H
(2021 SH),2021-Sep-18 01:32 ± < 00:01,4.07 | 0.01046,4.06 | 0.01043,6.8,6.76,27.3,9.0 m -   20 m,bK21S00H
(2021 RY5),2021-Sep-18 10:03 ± < 00:01,3.49 | 0.00896,3.48 | 0.00894,9.19,9.16,25.6,21 m -   46 m,bK21R05Y
(2021 RR4),2021-Sep-18 10:16 ± < 00:01,13.63 | 0.03501,13.55 | 0.03483,5.9,5.89,26.9,11 m -   25 m,bK21R04R
(2021 TE),2021-Sep-18 15:32 ±    00:03,19.44 | 0.04994,19.35 | 0.04971,10.59,10.59,23.6,50 m -  110 m,bK21T00E
(2021 RH12),2021-Sep-18 22:25 ±    00:11,1.14 | 0.00293,1.14 | 0.00292,5.59,5.42,28.5,5.3 m -   12 m,bK21R12H
(2021 QA2),2021-Sep-18 23:16 ± < 00:01,10.60 | 0.02725,10.59 | 0.02722,13.02,13.01,24,41 m -   92 m,bK21Q02A
(2021 TU),2021-Sep-19 15:52 ±    00:47,9.33 | 0.02397,8.83 | 0.02268,4.54,4.51,28.5,5.3 m -   12 m,bK21T00U
(2021 RN14),2021-Sep-19 23:12 ± < 00:01,1.91 | 0.00492,1.91 | 0.00490,12.19,12.15,26.9,11 m -   25 m,bK21R14N
(2021 SB),2021-Sep-20 02:34 ± < 00:01,14.31 | 0.03678,14.24 | 0.03659,10.85,10.84,26.1,16 m -   36 m,bK21S00B
